nationality,civilian,army,civilianP,armyP,total,totalP
Albania,0,30000,0,100,30000,100
Australia,700,39800,1.7,98.3,40500,100
Austria,62500,0,100,0,62500,100
Belgium,48900,12100,80,20,61000,100
Brazil,1000,1000,50,50,2000,100
Bulgaria,3000,22000,12,88,25000,100
Burma,250000,22000,92,8,272000,100
Canada,0,45400,0,100,45400,100
China,12500000,3500000,82,18,1600000,100
Cuba,100,0,100,0,100,100
Czechoslovakia,222350,25000,90,10,247350,100
Denmark,1012,2100,32.5,67.5,3112,100
Dutch East Indies,3500000,0,100,0,3500000,100
Estonia,48250,0,100,0,48250,100
Ethiopia,95000,5000,95,5,100000,100
Finland,2000,95000,2,98,97000,100
France,274000,132600,67,33,406600,100
French Indochina,1250000,0,100,0,1250000,100
Germany,2161500,5111673,30,70,7273173,100
Greece,237000,27550,90,10,264550,100
Hungary,300000,454500,40,60,754500,100
Iceland,200,0,100,0,200,100
India,2000000,87000,96,4,2087000,100
Iran,0,200,0,100,200,100
Iraq,0,500,0,100,500,100
Ireland,200,0,100,0,200,100
Italy,145200,268304,35,65,413504,100
Japan,389255,2120000,15.5,84.5,2509255,100
Korea,430500,0,100,0,430500,100
Latvia,159000,0,100,0,159000,100
Lithuania,213500,0,100,0,213500,100
Luxembourg,500,0,100,0,500,100
Malaya,100000,0,100,0,100000,100
Malta,1500,0,100,0,1500,100
Mexico,100,0,100,0,100,100
Mongolia,0,300,0,100,300,100
Nauru (Australian),500,0,100,0,500,100
Netherlands,181500,17000,91,9,198500,100
Newfoundland,100,0,100,0,100,100
New Zealand,0,11900,0,100,11900,100
Norway,5700,3000,65.52,34.48,8700,100
Papua New Guinea,15000,0,100,0,15000,100
Philippines,750000,57000,93,7,807000,100
Poland,2630000,174000,94,6,2804000,100
Portuguese Timor,55000,0,100,0,55000,100
Romania,296000,300000,49,51,596000,100
Ruanda(BE),150000,0,100,0,150000,100
Singapore,50000,0,100,0,50000,100
South Africa,0,11900,0,100,11900,100
South Pac Mandate,57000,0,100,0,57000,100
Soviet Union,15000000,8000000,47,53,23000000,100
Sweden,600,0,100,0,600,100
Switzerland,100,0,100,0,100,100
Thailand,2000,5600,26.3,73.7,7600,100
Turkey,0,200,0,100,200,100
United Kingdom,16591,383800,4,96,400391,100
USA,0,234871,0,100,234871,100
Yugoslavia,520500,436000,54.5,45.5,956500,100
