nationality,victims
Albania,30000
Australia,40500
Austria,62500
Belgium,61000
Brazil,2000
Bulgaria,25000
Burundi,75000
Canada,45400
China,16000000
Cuba,100
Czech Republic,123675
Denmark,31012
East Timor,55000
Estonia,48250
Ethiopia,10000
Finland,97000
France,408600
Germany,2161500
Greece,264550
Hungary,300000
Iceland,200
India,2087000
Indochinese Union,1250000
Indonesia,3500000
Iran,200
Iraq,500
Ireland,200
Italy,446599
Japan,2509255
Korea,430500
Latvia,159000
Lithuania,213500
Luxembourg,500
Malaya,100000
Malta,1500
Mexico,100
Mongolia,300
Myanmar,272000
Nauru (Australian),500
Netherlands,198500
Newfoundland,100
New Zealand,11900
Norway,8700
Papua New Guinea,15000
Philippines,807000
Poland,2804000
Romania,590000
Rwanda,75000
Russia,23000000
Singapore,50000
Slovakia,123675
South Africa,11900
South Pacific Mandate (Japanese),57000
Sweden,600
Switzerland,100
Thailand,7600
Turkey,200
England,16591
United States of America,234871
